continent,country,country_name,name,lat,lng,population,capital
AF,AO,Angola,Lubango,-14.91717,13.4925,600751,Luanda
AF,AO,Angola,Longonjo,-12.90795,15.24845,23000,Luanda
AF,AO,Angola,Londuimbali,-12.23712,15.31697,17000,Luanda
AF,AO,Angola,Lobito,-12.3644,13.53601,357950,Luanda
AF,AO,Angola,Cuíto,-12.38333,16.93333,355423,Luanda
AF,AO,Angola,Catchiungo,-12.56598,16.22589,26974,Luanda
AF,AO,Angola,Huambo,-12.77611,15.73917,595304,Luanda
AF,AO,Angola,Ganda,-13.01592,14.63502,65000,Luanda
AF,AO,Angola,Gabela,-10.85147,14.37993,116903,Luanda
AF,AO,Angola,Dombe Grande,-12.95167,13.1025,25000,Luanda
AF,AO,Angola,Cuemba,-12.15,18.08333,19995,Luanda
AF,AO,Angola,Cubal,-13.03865,14.2455,90367,Luanda
AF,AO,Angola,Conda,-11.10862,14.33621,21260,Luanda
AF,AO,Angola,Chitembo,-13.55,16.63333,25000,Luanda
AF,AO,Angola,Chinguar,-12.55708,16.33805,26811,Luanda
AF,AO,Angola,Cela,-11.42173,15.12345,90000,Luanda
AF,AO,Angola,Catumbela,-12.43002,13.54677,95034,Luanda
AF,AO,Angola,Catabola,-12.15,17.28333,28831,Luanda
AF,AO,Angola,Capunda,-11.13333,14.46667,21260,Luanda
AF,AO,Angola,Camucuio,-14.11667,13.25,66112,Luanda
AF,AO,Angola,Cambundi Catembo,-10.07531,17.55058,17212,Luanda
AF,AO,Angola,Camacupa,-12.01667,17.48333,59000,Luanda
AF,AO,Angola,Caluquembe,-13.86667,14.43333,31000,Luanda
AF,AO,Angola,Calulo,-10.00055,14.89519,44000,Luanda
AF,AO,Angola,Caála,-12.8525,15.56056,130000,Luanda
AF,AO,Angola,Bocoio,-12.47017,14.13688,35000,Luanda
AF,AO,Angola,Benguela,-12.57674,13.40268,555124,Luanda
AF,AO,Angola,Balombo,-12.35426,14.77232,36361,Luanda
AF,AO,Angola,Baía Farta,-12.60417,13.19667,45000,Luanda
AF,AO,Angola,Andulo,-11.48676,16.69663,50000,Luanda
AF,AO,Angola,Cambundi,-7.46856,17.03769,17212,Luanda
AF,AO,Angola,Cafunfo,-8.7672,17.99572,90000,Luanda
AF,AO,Angola,Santa Clara,-10.19156,15.43408,29000,Luanda
AF,AO,Angola,Quissecula,-11.39223,15.09201,90000,Luanda
AF,AO,Angola,Cambundi,-10.89481,17.76402,17212,Luanda
SA,AR,Argentina,Zárate,-34.09584,-59.02423,99061,Buenos Aires
SA,AR,Argentina,Colonia Wanda,-25.97337,-54.56304,15529,Buenos Aires
SA,AR,Argentina,Villa Ortúzar,-34.57973,-58.46829,22500,Buenos Aires
SA,AR,Argentina,Villa Ocampo,-28.48726,-59.35421,19101,Buenos Aires
SA,AR,Argentina,Villa Lugano,-34.67907,-58.47263,114000,Buenos Aires
SA,AR,Argentina,Villaguay,-31.86767,-59.02701,32027,Buenos Aires
SA,AR,Argentina,Villa Gesell,-37.26394,-56.97304,23257,Buenos Aires
SA,AR,Argentina,Villa de Mayo,-34.5108,-58.68059,43405,Buenos Aires
